id,code,name,currency,number_box,number_pallet,entity,color,usage,model,export,quality,size,weight,tickness,image
162,210309045149,سه راهی 45 * 90 درجه سفید,عدد,27,15,سه راهی,سفید,فاضلابی,قدیمی,False,درجه 1,90,0.44,45,
163,210309090160,سه راهی  90 * 90 درجه سفید,عدد,45,15,سه راهی,سفید,فاضلابی,قدیمی,False,درجه 1,90,0.346,0,
164,210311045012,tee 110 * 45,number,20,0,سه راهی,طوسی,فاضلابی,قدیمی,True,درجه 1,110,0.825,0,
165,210311045150,سه راهی 45 * 110 درجه سفید,عدد,20,15,سه راهی,سفید,فاضلابی,قدیمی,False,درجه 1,110,0.682,0,
166,210311045211,سه راهی 45 * 110 درجه NEW سفید,عدد,20,15,,سفید,فاضلابی,جدید,False,درجه 1,110,0.666,0,
167,210311090161,سه راهی 90 * 110 درجه سفید,عدد,1,1,سه راهی,سفید,فاضلابی,قدیمی,False,درجه 1,110,1.0,0,
168,210311090212,سه راهی 90 * 110 درجه NEW سفید,عدد,25,15,,سفید,فاضلابی,جدید,False,درجه 1,110,0.5,0,
169,210312545151,سه راهی 45 * 125 درجه سفید,عدد,16,15,سه راهی,سفید,فاضلابی,قدیمی,False,درجه 1,125,0.84,0,
170,210312590162,سه راهی 90 * 125 درجه  سفید,عدد,18,15,سه راهی,سفید,فاضلابی,قدیمی,False,درجه 1,125,0.708,0,
171,210316045152,سه راهی 45 * 160 درجه سفید,عدد,1,1,سه راهی,سفید,فاضلابی,قدیمی,False,درجه 1,160,1.0,0,
172,210405045059,tee 50 * 45,number,1,1,سه راهی,طوسی,فاضلابی,قدیمی,True,درجه 1,50,0.123,0,
173,210407545005,tee 75*45,number,34,0,سه راهی,طوسی,فاضلابی,قدیمی,True,درجه 1,75,0.365,0,
174,210407590006,tee 75*90,number,42,0,سه راهی,طوسی,فاضلابی,قدیمی,True,درجه 1,75,0.29,0,
175,210409045140,سه راهی تبدیل 45 * 63 * 90 سفید,عدد,55,15,سه راهی,سفید,فاضلابی,قدیمی,False,درجه 1,90,0.349,45,
176,210409090155,سه راهی تبدیل 90 * 63 * 90 سفید,عدد,64,15,سه راهی,سفید,فاضلابی,قدیمی,False,درجه 1,90,0.295,45,
177,210411045141,سه راهی تبدیل 45 * 63 * 110 سفید,عدد,42,15,سه راهی,سفید,فاضلابی,قدیمی,False,درجه 1,110,0.463,45,
178,210411045142,سه راهی تبدیل 45  * 90 * 110 سفید,عدد,25,15,سه راهی,سفید,فاضلابی,قدیمی,False,درجه 1,110,0.56,45,
179,210411045209,سه راهی تبدیل 45 * 63 * 110 NEW سفید,عدد,42,15,,سفید,فاضلابی,جدید,False,درجه 1,110,0.405,45,
180,210411063156,سه راهی تبدیل 90 * 63 * 110 سفید,عدد,46,15,سه راهی,سفید,فاضلابی,قدیمی,False,درجه 1,110,0.365,63,
181,210411090010,tee 110 * 90,number,17,0,سه راهی,طوسی,فاضلابی,قدیمی,True,درجه 1,110,0.532,0,
182,210411090157,سه راهی تبدیل 90 * 90 * 110 سفید,عدد,1,1,سه راهی,سفید,فاضلابی,قدیمی,False,درجه 1,110,1.0,0,
183,210412545143,سه راهی تبدیل 45 * 110 * 125 سفید,عدد,16,15,سه راهی,سفید,فاضلابی,قدیمی,False,درجه 1,125,0.775,0,
184,210416045144,سه راهی تبدیل 45 * 110 * 160سفید,عدد,1,1,سه راهی,سفید,فاضلابی,قدیمی,False,درجه 1,160,1.0,0,
185,210416045145,سه راهی تبدیل 45 * 125 * 160 سفید,عدد,1,1,سه راهی,سفید,فاضلابی,قدیمی,False,درجه 1,160,1.0,0,
186,210500025022,cap  25,number,2400,25,درپوش,طوسی,برقی,قدیمی,True,درجه 1,25,0.005,0,
187,210500110040,cap 110,number,120,25,درپوش,طوسی,برقی,قدیمی,True,درجه 1,110,0.135,0,
188,210511087164,سه راهی خم دریچه بازدید 87/5 * 110 سفید,عدد,20,15,سه راهی,سفید,فاضلابی,قدیمی,False,درجه 1,110,0.634,0,
189,210511087165,سه راهی خم 87.5 * 110 سفید,عدد,25,15,سه راهی,سفید,فاضلابی,قدیمی,False,درجه 1,110,0.545,0,
190,210511090168,سه راهی دریچه بازدید 90 * 110 سفید,عدد,25,15,سه راهی,سفید,فاضلابی,قدیمی,False,درجه 1,110,0.5,0,
191,210600004023,FOUR Ways +,number,176,25,چهار راهی,طوسی,برقی,قدیمی,True,درجه 1,25,0.058,0,
192,210600004024,FOUR Ways =,number,240,25,چهار راهی,طوسی,برقی,قدیمی,True,درجه 1,25,0.058,0,
193,210600004037,FOUR Ways **,number,4,25,چهار راهی,طوسی,فاضلابی,قدیمی,True,درجه 1,0,1.53,0,
194,210606300171,رابط دریچه بازدید 63 سفید,عدد,1,1,رابط دریچه,سفید,فاضلابی,قدیمی,False,درجه 1,63,1.0,0,
195,210609000170,رابط دریچه بازدید 90 سفید,عدد,1,1,رابط دریچه,سفید,فاضلابی,قدیمی,False,درجه 1,90,1.0,0,
196,210611000169,رابط دریچه بازدید 110 سفید,عدد,1,1,رابط دریچه,سفید,فاضلابی,قدیمی,False,درجه 1,110,1.0,0,
197,210700050046,سوکت 50 ترمزدار سفید,عدد,270,25,سوکت ترمزدار,سفید,فاضلابی,قدیمی,False,درجه 1,50,0.066,0,
198,210702000173,سوکت برقی سفید 20 ترمز دار,عدد,2500,100,سوکت برقی,سفید,فاضلابی,قدیمی,False,درجه 1,20,0.01,0,
199,210702500174,سوکت برقی سفید 25 ترمز دار,عدد,1500,100,سوکت برقی,سفید,فاضلابی,قدیمی,False,درجه 1,25,0.01,0,
200,210703200175,سوکت برقی سفید 32 ترمز دار,عدد,900,100,سوکت برقی,سفید,فاضلابی,قدیمی,False,درجه 1,32,0.01,0,
201,210706300126,سوکت ترمزدار 63 سفید,عدد,1,1,سوکت ترمزدار,سفید,فاضلابی,قدیمی,False,درجه 1,63,1.0,0,
202,210706300132,سوکت بدون ترمز 63 سفید,عدد,150,25,سوکت بدون ترمز,سفید,فاضلابی,قدیمی,False,درجه 1,63,0.075,0,
203,210706300207,سوکت ترمزدار 63 NEW سفید,عدد,150,25,,سفید,فاضلابی,جدید,False,درجه 1,63,0.075,0,
204,210707500127,سوکت ترمزدار 75 سفید,عدد,1,1,سوکت ترمزدار,سفید,فاضلابی,قدیمی,False,درجه 1,75,1.0,0,
205,210709000128,سوکت ترمزدار 90 سفید,عدد,60,25,سوکت ترمزدار,سفید,فاضلابی,قدیمی,False,درجه 1,90,0.158,0,
206,210709000133,سوکت بدون ترمز 90 سفید,عدد,60,25,سوکت بدون ترمز,سفید,فاضلابی,قدیمی,False,درجه 1,90,1.0,0,
207,210711000129,سوکت ترمزدار 110 سفید,عدد,70,15,سوکت ترمزدار,سفید,فاضلابی,قدیمی,False,درجه 1,110,0.24,0,
208,210711000134,سوکت بدون ترمز 110 سفید,عدد,1,1,سوکت بدون ترمز,سفید,فاضلابی,قدیمی,False,درجه 1,110,1.0,0,
